elements time
384130 6.480162
848045 19.775369
746375 13.183879
817848 18.882195
653562 14.444312
514437 12.085148
715728 14.184677
335712 4.644970
572040 11.070284
506974 12.820549
533664 10.365041
631810 13.214691
869166 17.368374
531744 8.292797
530830 12.624127
852630 18.747744
283728 4.553618
590150 10.146402
730170 13.421206
320574 4.305225
443802 7.253733
586960 10.811509
317254 4.306053
274758 5.382358
746496 14.616149
431640 7.658182
469942 9.892668
396942 5.925691
383042 6.091885
398574 7.102331
