elements time
384130 12.777935
848045 23.947297
746375 18.881980
817848 20.745673
653562 17.084685
514437 16.622067
715728 17.604140
335712 11.039200
572040 15.062167
506974 13.842443
533664 16.152449
631810 21.001021
869166 19.116962
531744 14.741554
530830 14.559593
852630 17.818775
283728 8.606125
590150 15.294084
730170 17.306956
320574 9.155968
443802 11.272745
586960 14.801138
317254 9.127764
274758 7.650703
746496 15.553986
431640 10.703694
469942 14.054235
396942 11.308513
383042 12.520376
398574 11.199862
