elements time
384130 19.150115
848045 55.598907
746375 48.129707
817848 55.185118
653562 43.130728
514437 33.490100
715728 48.068919
335712 12.101119
572040 33.368900
506974 35.979209
533664 30.002335
631810 39.575270
869166 56.978262
531744 29.200080
530830 35.978825
852630 58.298670
283728 9.237632
590150 34.817293
730170 45.527736
320574 12.715096
443802 21.385321
586960 33.679275
317254 13.191522
274758 10.399218
746496 46.062619
431640 24.890215
469942 30.573659
396942 21.099284
383042 19.715978
398574 16.875801
