elements time
384130 5.513218
848045 12.068906
746375 9.836334
817848 11.420379
653562 9.451882
514437 7.709259
715728 10.274057
335712 4.618794
572040 8.118276
506974 8.226822
533664 7.231094
631810 9.733220
869166 12.456913
531744 7.434551
530830 8.876910
852630 11.805026
283728 3.926094
590150 7.848807
730170 10.458060
320574 4.289914
443802 6.519180
586960 8.482043
317254 4.600227
274758 4.271793
746496 10.284107
431640 6.926151
469942 7.638317
396942 6.148557
383042 5.934718
398574 6.079730
